2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Korean Spicy Soup,SKU-2CA80708,77g,15400,15400,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Korean,Spicy Soup,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Korean Spicy Chicken,SKU-ED725DC2,87g,3520,3520,0.00,Retail Express,Shopee,Sumatera Utara,Medan,No Promo,NULL,Korean,Spicy Chicken,Single Pack,NULL,NULL,428
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bawang,SKU-24B7F0D9,5 pcs,14880,14880,0.00,Mitra Distributor,Shopee,Jawa Tengah,Semarang,No Promo,NULL,Kuah,Ayam Bawang,Multipack,NULL,NULL,377
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bawang,SKU-B239B69F,71g,15500,15500,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,NULL,Kuah,Ayam Bawang,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Kari Spesial,SKU-6F55071F,12 x 81g,52100,52100,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,Kari,NULL,Multipack,NULL,NULL,166
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Kari Mercon,SKU-7F695226,79g,13700,13700,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Kari,Kari Mercon,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Korean Spicy,SKU-ABE7C88D,5 x 87g,23000,23000,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,NULL,NULL,Multipack,NULL,NULL,164
2026-05-29,Wings Group,Mie Sedaap,Mie Ramen Yes Sedaap Varian Kuah/Goreng,SKU-5BA3F161,12 pcs,35000,35000,0.00,Toko Kelontong Digital,Shopee,Jawa Timur,Malang,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,35
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto,SKU-F34E82CC,5 pcs,13500,13500,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Barat,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,3
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Selection Mie Korean Spicy Chicken,SKU-0568EB81,5 x 87g,16300,16300,0.00,Official Store,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Korean,Spicy Chicken,Multipack,NULL,NULL,4000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng/Kuah Varian Lengkap,SKU-64B6E893,NULL,3900,3900,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,Goreng,NULL,Single Pack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Triple Pack,SKU-DBA1F085,5 x 90g,45400,45400,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Singapore Spicy Laksa,SKU-267F492F,40 x 83g,120700,120700,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,Laksa,Singapore Spicy Laksa,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-C35E9FA8,5 x 90g,45400,45400,0.00,Supermarket Online,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Spesial,SKU-56CFD17F,40 x 69g,120900,120900,0.00,Mitra Distributor,Shopee,Jawa Timur,Malang,No Promo,NULL,Kuah,Ayam Spesial,Multipack,NULL,NULL,47
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Mi Goreng Mie,SKU-00954307,5 x 90g,60300,60300,0.00,Official Store,Shopee,Jawa Barat,Bogor,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ala Chef,SKU-17ACFC1C,93g,16300,16300,0.00,Mitra Distributor,Shopee,Jawa Timur,Sidoarjo,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,10000
