brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,Mie Sedaap Mie Instan Rasa Soto 3 x 375 gr,0,43200,0,6000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Ayam Nampool 75 gr Carton (12 pcs),0,52100,0,79,Shopee,Indonesia,Grosir
Wings,1 DUS Mie Sedaap Cup All Varian Rasa Isi 12 pcs,0,61749,0,5000,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE KARI SPECIAL,0,3360,0,182,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Ayam Spesial 69 gr x5,0,15900,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Baso Bleduk 77 gr Carton (12 pcs),0,52100,0,316,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE KUAH AYAM JERIT 77GR,0,3120,0,219,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Goreng 90 Gr,0,3520,0,369,Shopee,Indonesia,Satuan
Wings,MIE SEDAAP GORENG ISI 5 BKS N1853,0,25047,0,5,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE CURRY WHITE 81 GR,0,3630,0,376,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Cup Soto 81 gr x12,0,52100,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP Mie Instan Soto Bag 75GR Box isi 40 Pcs,0,120700,0,2000,Shopee,Indonesia,Grosir
Wings,Mie Instant Mie Sedaap Mie Goreng,0,4900,0,3,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Goreng Korean Series,0,18100,0,1000,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Kari Ayam Bag 72 gr x5,0,15400,0,10000,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Cup All Varian - Mi Sedap,0,7800,0,4,Shopee,Indonesia,Satuan
