scrape_date,company,brand,product_name,sku_id,pack_size,original_price,final_price,discount_pct,retailer,platform,province,city,promo_type,promo_text,variant,flavor,offer_structure,promo_start,promo_end,sales_volume,revenue,total_weight_g,unit_quantity,price_per_100g,price_flag
2026-05-29,Indofood,Indomie,Indomie Goreng 1 Bungkus,SKU-6C0ECCC4,40 pcs,140800,200,99.86,Toko Grosir Sembako,Shopee,Jawa Timur,Malang,Discount,Diskon Spesial,Goreng,,Multipack,2026-05-01,2026-05-31,1225,245000,3200.0,40,6.25,True
2026-05-29,Indofood,Indomie,Indomie Tori Kara Satu Karton,SKU-0DCC46DC,89g,100000,100000,0.0,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Timur,No Promo,,,,Multipack,,,144,14400000,89.0,1,112359.55056179776,True
2026-05-29,Indofood,Indomie,Indomie All Variasi 1 Karton,SKU-F8130B9A,75g,135000,135000,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,,,Multipack,,,103,13905000,75.0,1,180000.0,True
2026-05-29,Indofood,Indomie,Ctn - Indomie Kuah Ayam Bawang,SKU-6980B9E9,69g,155600,155600,0.0,Toko Grosir Sembako,Shopee,Jawa Timur,Malang,No Promo,,Kuah,Ayam Bawang,Multipack,,,161,25051600,69.0,1,225507.24637681158,True
2026-05-29,Indofood,Indomie,Ctn - Indomie Hypeabis Mie Nyemek Banglahdes'E Kari,SKU-FE38AEFC,80g,171200,171200,0.0,Supermarket Online,Shopee,Jawa Barat,Bekasi,No Promo,,Kari,,Multipack,,,60,10272000,80.0,1,214000.0,True
2026-05-29,Indofood,Indomie,Indomie Kari Ayam Karton,SKU-4138464A,72g,136840,136840,0.0,Retail Express,Shopee,Jawa Barat,Bekasi,No Promo,,Kari,Kari Ayam,Multipack,,,187,25589080,72.0,1,190055.55555555556,True
2026-05-29,Indofood,Indomie,Indomie Goreng 1Dus,SKU-E3AA79CD,85g,155900,155900,0.0,Toko Grosir Sembako,Shopee,Jawa Timur,Sidoarjo,No Promo,,Goreng,,Multipack,,,135,21046500,85.0,1,183411.76470588235,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ala Chef,SKU-FBE5B1D0,93g,49800,49800,0.0,Mitra Distributor,Tokopedia,Jawa Barat,Bekasi,No Promo,,Goreng,,Multipack,,,196,9760800,93.0,1,53548.3870967742,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Kari Kental Spesial,SKU-5A995713,76g,55800,55800,0.0,Toko Kelontong Digital,Tokopedia,Jawa Barat,Depok,No Promo,,Kari,Kari Kental,Multipack,,,70,3906000,76.0,1,73421.05263157895,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-CDDF3782,91g,58300,58300,0.0,Retail Express,Tokopedia,Jawa Timur,Sidoarjo,No Promo,,Goreng,,Multipack,,,204,11893200,91.0,1,64065.93406593406,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Singapore Spicy Laksa,SKU-E8ACEF87,86g,44600,44600,0.0,Toko Grosir Sembako,Tokopedia,DKI Jakarta,Jakarta Selatan,No Promo,,Laksa,Singapore Spicy Laksa,Multipack,,,183,8161800,86.0,1,51860.46511627907,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ala Chef,SKU-B7E1A987,93g,92400,92400,0.0,Mitra Distributor,Tokopedia,DKI Jakarta,Jakarta Utara,No Promo,,Goreng,,Multipack,,,66,6098400,93.0,1,99354.83870967741,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bawang,SKU-A699CF37,70g,31400,31400,0.0,Official Store,Tokopedia,Jawa Barat,Bekasi,No Promo,,Kuah,Ayam Bawang,Multipack,,,170,5338000,70.0,1,44857.142857142855,True
